Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Waikato district,8410,8900,7040,79.1,7920,8370,6470,77.3,9410,1890,2080,20.9,850,1050,75191600
,  Matamata-Piako district,7970,8410,6310,75,7560,8000,5720,71.5,10490,1800,1900,17.5,810,920,80837800
,  Hamilton city,8500,9090,6180,68,7810,8320,5450,65.5,58530,10920,9080,17.4,4750,2910,482379400
,  Waipa district,7540,7980,6060,75.9,7000,7490,5450,72.8,11640,2270,2360,19.8,1130,1220,84962000
,  Otorohanga district,7660,7990,6410,80.2,7730,8050,6490,80.6,2750,450,560,17.9,210,320,20370600
,  South Waikato district,9230,9710,7140,73.5,8650,9060,6920,76.4,8280,1250,1300,15.4,530,580,74004500
,  Waitomo district (modified),7600,8090,6080,75.2,7020,7440,5530,74.3,3590,720,810,20.9,350,440,25706900
,  Taupo district (modified),7330,7790,5600,71.9,6830,7350,4980,67.8,11300,2210,2290,19.9,900,980,80164600
,  Western Bay of Plenty district,7100,7580,5660,74.7,6710,7250,5010,69.1,13170,6390,2620,39.9,5250,1480,71826800
,  Tauranga city,7970,8410,6380,75.9,7360,7770,5560,71.6,36700,7690,6960,20.2,3540,2810,279344200
,  Rotorua district,7860,8330,6060,72.8,7350,7780,5480,70.4,26290,4680,4770,17.9,1890,1980,200414600
,  Whakatane district (modified),7550,8130,5490,67.5,6760,7420,4470,60.2,10880,2760,1930,22.4,1730,900,75623200
,  Kawerau district,11770,12080,11240,93.1,11890,12260,11260,91.8,3220,330,310,9.9,150,120,36982300
,  Opotiki district,6630,7040,5220,74.2,6000,6490,4420,68.1,2610,930,510,30.1,680,260,14427700
,  Gisborne district,7240,7730,5480,70.9,6720,7220,4630,64.1,16260,3690,4450,24.4,1770,2520,110740900
,  Wairoa district,7610,8110,5760,71,7500,7940,5140,64.7,3050,650,680,21.8,330,360,22488200
,  Hastings district (modified),7850,8360,5950,71.2,7340,7860,5360,68.2,29860,6760,7410,23.5,3010,3670,222796000
,  Napier city,7470,7950,5670,71.3,6990,7470,4800,64.3,20170,3730,3560,18.2,1610,1440,145812900
,  Central Hawke's Bay district,7700,8170,5830,71.4,7600,7890,5510,69.8,5310,1130,1290,22.4,550,700,38580400
,  New Plymouth district,8430,8950,6700,74.9,7390,7840,5630,71.8,25200,4430,4280,17.3,2150,2000,207211900
,  Stratford district,6790,7450,4980,66.9,6090,6880,3950,57.4,2450,480,410,18.4,290,220,16131000
,  South Taranaki district,8810,9170,7840,85.5,8230,8580,7020,81.8,10890,1650,1750,15.6,730,820,94791900
,  Ruapehu district (modified),7750,8300,5920,71.3,7200,7740,5000,64.6,5420,1260,1260,23.3,560,570,40085700
,  Wanganui district,7350,7780,5390,69.3,6860,7280,4810,66.1,15870,2640,2530,16.4,1200,1100,113427900
,  Rangitikei district (modified),6850,7160,6130,85.6,6280,6740,5110,75.8,4610,970,1100,22.1,520,640,30298600
,  Manawatu district,7600,8030,5920,73.7,7250,7620,5330,70,7060,1250,1440,18.8,610,800,52239700
,  Palmerston North city,8030,8580,5540,64.6,7360,7850,4640,59.1,38000,6840,5900,17,2990,2050,290962300
,  Tararua district,7210,7600,5940,78.2,6920,7370,5220,70.8,5750,1100,1400,21.2,580,870,39615300
,  Horowhenua district,6900,7260,5290,72.9,6310,6770,4430,65.4,8020,1310,1270,16.2,660,620,54347100
,  Kapiti Coast district,6640,7010,5260,75,6180,6640,4290,64.6,9350,1730,1640,18,810,720,60582100
,  Porirua city,8320,8860,6830,77.1,7700,8260,5860,70.9,12360,2200,1760,16.3,1040,600,99987600
,  Upper Hutt city,8260,8690,6670,76.8,7460,7880,5620,71.3,9880,1500,1390,14.6,680,580,79209600
,  Lower Hutt city,8900,9290,7180,77.3,8180,8500,6340,74.6,38220,5870,5810,15.3,2370,2310,335129900
,  Wellington city,10830,11430,7930,69.4,9190,9670,6560,67.8,115120,19330,18190,16.4,7940,6800,1241688100
,  Masterton district,7000,7360,5560,75.5,6460,6860,4800,70,8790,1620,1500,17.9,840,720,59443500
,  Carterton district,7090,7420,5670,76.4,6720,7070,5250,74.3,2320,420,470,19,170,220,15560300
,  South Wairarapa district,6470,6970,4220,60.6,6010,6600,3680,55.8,2240,550,650,26.2,290,390,13493800
,  Tasman district,7450,7910,5910,74.7,6860,7300,5200,71.2,13840,3390,4210,26.7,1630,2440,98041700
,  Nelson city,7770,8210,6290,76.6,7050,7460,5590,74.9,20660,3870,3510,18,1610,1250,153329400
,  Marlborough district,7380,7780,6030,77.5,6920,7310,5200,71.1,15500,3270,3790,22.4,1330,1850,110989200
,  Kaikoura district,6840,7340,4530,61.7,6000,6500,3800,58.5,1060,220,390,26.8,90,260,6960500
,  Buller district,7420,7710,6710,87,6690,6950,5830,83.9,2930,540,620,19.5,250,330,21378200
,  Grey district,7350,7670,6370,83.1,6720,6980,5460,78.2,5600,1010,850,16.8,480,330,40426000
,  Westland district,7240,7720,5490,71.1,6840,7320,5190,70.9,2710,510,710,21.6,190,390,19457200
,  Hurunui district,6400,6780,5570,82.2,5840,6240,4980,79.8,2680,660,700,25.4,350,380,16178900
,  Waimakariri district,6880,7290,5310,72.8,6250,6730,4670,69.4,7660,1410,1290,17.9,760,640,51148300
,  Christchurch city (modified),8220,8660,6330,73.1,7500,7920,5390,68.1,155860,26550,26140,16.9,11150,10740,1241774700
,  Selwyn district,7750,8450,5100,60.4,7350,7920,4720,59.6,8960,1760,1650,19.1,880,780,65833400
,  Ashburton district,7370,7790,5710,73.3,7170,7580,5360,70.7,10580,1800,2110,18.2,760,1060,75885600
,  Timaru district,7250,7640,5660,74.1,6960,7390,5280,71.5,17190,2930,2830,16.8,1370,1260,121581500
,  Mackenzie district,6940,7400,5000,67.6,6200,6630,4630,69.8,1210,260,390,25.3,110,240,8115600
,  Waimate district,6420,6770,5410,79.9,6160,6490,5090,78.4,1710,350,480,23.1,190,330,10486400
,  Waitaki district,7150,7570,5020,66.3,6840,7340,3940,53.7,7320,1220,1480,18.2,540,800,52640100
,  Central Otago district,6690,7030,5630,80.1,6120,6520,5110,78.4,5600,1230,2080,27.5,510,1360,35687500
,  Queenstown-Lakes district,7260,7740,5800,74.9,6830,7300,5430,74.4,8940,2370,2990,29,820,1430,64498300
,  Dunedin city,7740,8380,5660,67.5,7200,7770,4710,60.6,50130,9550,7320,17.2,4800,2570,373517700
,  Clutha district,7640,8080,6070,75.1,7620,8050,5780,71.8,6250,1090,1840,22.1,490,1240,46779600
,  Southland district,8170,8550,6910,80.8,7830,8260,5760,69.7,10500,1870,3680,24.4,840,2650,90911200
,  Gore district,7440,7840,5240,66.8,7240,7690,4550,59.2,5580,870,1140,17.5,380,650,42075300
,  Invercargill city,7760,8270,5500,66.5,7090,7590,4630,61,22020,3840,3560,16.9,1710,1430,166469900
Mar-02,Total territorial authority,8720,9020,6690,74.2,7640,7910,5740,72.6,1544350,291960,285340,18.7,150040,143410,12726496100
,  Far North district,6540,6800,5200,76.5,6080,6340,4830,76.2,14500,3040,3150,21.3,1610,1730,88631000
,  Whangarei district,7820,8060,6300,78.2,7230,7440,5630,75.7,23360,4360,4270,18.5,2300,2210,176425200
,  Kaipara district,6440,6550,6450,98.5,6180,6420,5590,87.1,4400,950,980,21.8,510,540,26492900
,  Rodney district,7300,7550,6000,79.5,6740,7020,5100,72.7,16720,3130,3380,19.3,1660,1910,115342700
,  North Shore city,9110,9490,6390,67.3,8060,8370,5290,63.2,65540,11200,11440,17.3,5040,5280,569866600
,  Waitakere city,7710,8010,5530,69,7190,7500,4730,63.1,38670,6480,7310,17.6,3100,3930,289286000
,  Auckland city,10720,11060,8120,73.4,8830,9120,6740,73.9,259750,48390,47810,18.5,23900,23320,2655605900
,  Manukau city,9360,9630,7190,74.7,8310,8560,6250,73,96320,15770,16440,16.6,7910,8580,862370700
,  Papakura district,8120,8320,6790,81.6,7560,7800,5770,74,12990,2320,2160,17.4,1250,1100,101269800
,  Franklin district,8490,8830,5920,67,7470,7810,5160,66.1,15080,3130,2520,19,1860,1250,117266800
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,7160,7540,5450,72.3,6510,6940,4670,67.3,7800,1630,1550,20.5,870,790,51831600
,  Hauraki district,6950,7180,5650,78.7,6500,6770,4720,69.7,4290,820,830,19.2,450,450,28311100
,  Waikato district,8260,8590,6620,77.1,7610,7900,6170,78.1,9620,2060,2540,23.3,1080,1560,74562500
,  Matamata-Piako district,7690,7700,7870,102.2,7080,7130,6810,95.5,10600,1980,1880,18.3,1150,1050,76831100
,  Hamilton city,8390,8630,6680,77.4,7630,7830,5600,71.5,56700,9930,10420,17.9,4320,4810,451193300
,  Waipa district,7500,7490,8030,107.2,6880,6920,7010,101.3,11710,2380,2370,20.3,1330,1310,81848800
,  Otorohanga district,7480,7730,6100,78.9,7330,7520,5980,79.5,2850,560,580,19.7,300,320,19902900
,  South Waikato district,8850,8980,8220,91.5,8100,8240,7220,87.6,8330,1260,1500,16.2,630,880,69660600
,  Waitomo district (modified),7430,7670,6310,82.3,6940,7200,5450,75.7,3680,830,840,22.8,480,480,25160400
,  Taupo district (modified),7340,7660,5500,71.8,6750,7080,4710,66.5,11380,2430,2400,20.9,1150,1120,78923000
,  Western Bay of Plenty district,6680,6890,5580,81,6300,6500,4900,75.4,9400,2200,2490,24.6,1180,1470,56181800
,  Tauranga city,7760,8090,5820,71.9,7110,7440,4990,67.1,35970,7150,6890,19.6,3440,3180,261427200
,  Rotorua district,7820,8080,6200,76.7,7200,7450,5400,72.5,26410,4990,4810,18.7,2470,2290,193573900
,  Whakatane district (modified),7500,7650,6910,90.3,6720,6970,5620,80.6,10050,2100,2430,22.2,1110,1450,69771400
,  Kawerau district,11760,12140,8530,70.3,11370,11920,6830,57.3,3190,440,410,13.3,280,250,36668900
,  Opotiki district,6280,6530,5140,78.7,5760,6000,4500,75,2190,410,500,20.4,180,260,12665100
,  Gisborne district,7140,7410,5440,73.4,6540,6800,4850,71.3,17020,4470,4010,25.2,2620,2170,108677000
,  Wairoa district,7370,7620,6090,79.9,7280,7470,5970,79.9,3080,730,740,23.9,420,430,20960600
,  Hastings district (modified),7910,8260,6120,74.1,7230,7540,5730,76,30530,8750,6050,25.5,5560,2860,219274900
,  Napier city,7420,7710,5230,67.8,6870,7150,4740,66.3,19970,3520,3540,17.6,1690,1710,140105100
,  Central Hawke's Bay district,7710,8010,6340,79.2,7480,7630,6620,86.8,5470,1440,1140,24.2,880,590,37464800
,  New Plymouth district,8400,8670,6230,71.9,7190,7380,5290,71.7,25050,4850,5020,19.7,2810,2980,200486900
,  Stratford district,6740,6890,5660,82.2,6170,6310,5000,79.2,2370,460,490,19.6,290,320,14919400
,  South Taranaki district,8410,8720,7160,82.1,7620,7920,6740,85.1,10990,2080,1800,17.8,1300,1020,88268900
,  Ruapehu district (modified),7760,8010,6210,77.5,7140,7380,5340,72.4,5420,1310,1270,23.9,700,660,37943500
,  Wanganui district,7330,7590,5320,70.1,6770,6970,4990,71.6,15750,2620,2570,16.5,1290,1250,110941400
,  Rangitikei district (modified),6840,7080,5140,72.6,6350,6630,4700,70.9,4740,1150,1090,23.9,680,620,30084200
,  Manawatu district,7410,7590,6300,83,7000,7200,5740,79.7,7250,1360,1600,20.1,750,990,52024000
,  Palmerston North city,7830,8130,5480,67.4,7200,7480,4590,61.4,37050,6250,6350,17,2730,2830,272294500
,  Tararua district,6910,7120,5810,81.6,6490,6680,5510,82.5,6040,1390,1090,21.1,850,560,38420100
,  Horowhenua district,6720,6890,5470,79.4,6110,6300,4640,73.7,7980,1250,1560,17.3,620,930,51575200
,  Kapiti Coast district,6630,6880,4880,70.9,6030,6350,4080,64.3,9260,1630,1830,18.5,790,980,58618300
,  Porirua city,8450,8730,6120,70.1,7700,7980,4990,62.5,11960,2300,2180,18.8,1250,1120,97496300
,  Upper Hutt city,8260,8530,5710,66.9,7350,7640,4550,59.6,9780,1520,1880,17.1,790,1160,77367700
,  Lower Hutt city,8850,9150,6250,68.3,7870,8110,5330,65.7,38160,5610,6140,15.3,2650,3190,325729300
,  Wellington city,11420,11760,8830,75.1,9290,9560,7060,73.9,113980,18110,19940,16.6,7850,9680,1253022900
,  Masterton district,6860,7100,4900,69,6310,6560,4350,66.3,8680,1410,1630,17.3,650,870,56528600
,  Carterton district,6530,6780,4750,70.1,6070,6350,4240,66.8,2380,410,430,17.4,210,240,14692600
,  South Wairarapa district,6380,6630,4760,71.8,6000,6280,4310,68.6,2350,610,570,25.4,380,340,13447000
,  Tasman district,7150,7470,5940,79.5,6660,7000,5160,73.7,14670,4750,2770,27.5,3310,1330,94206300
,  Nelson city,7420,7730,5180,67,6760,7100,4550,64.1,20300,4220,3850,20.1,2210,1840,142283200
,  Marlborough district,7150,7450,5350,71.8,6740,7010,4760,67.9,16030,4000,3410,23.6,2130,1540,105629700
,  Kaikoura district,6960,7420,5100,68.7,6320,6920,4480,64.7,1220,320,270,24.9,190,130,7701900
,  Buller district,7250,7530,5700,75.7,6500,6860,4800,70,3010,680,770,23.6,410,500,21231700
,  Grey district,7140,7380,5210,70.6,6470,6750,4150,61.5,5440,940,920,17.1,470,460,37312700
,  Westland district,7340,7790,5450,70,6930,7300,5460,74.8,2920,660,540,21,360,250,20226400
,  Hurunui district,6270,6420,5470,85.2,5900,6040,5120,84.8,2720,610,670,23.4,350,410,16159700
,  Waimakariri district,6670,6950,4770,68.6,6240,6590,4290,65.1,7540,1310,1510,18.4,670,860,47487800
,  Christchurch city (modified),8090,8380,5880,70.2,7260,7520,5090,67.7,155400,26460,26960,17.2,12630,13130,1192663400
,  Selwyn district,8000,8270,6150,74.4,7360,7540,5750,76.3,8870,1730,1790,19.9,860,920,65219900
,  Ashburton district,7570,7770,6140,79,7260,7390,6170,83.5,10890,2180,1870,18.9,1250,940,77440900
,  Timaru district,7350,7430,6950,93.5,6990,6980,6920,99.1,17080,3480,2740,18.7,2090,1360,118141800
,  Mackenzie district,7120,7610,5530,72.7,6470,6970,5450,78.2,1340,320,300,23.6,190,170,8997500
,  Waimate district,6360,6540,5220,79.8,6030,6130,5000,81.6,1840,440,350,21.7,300,210,10935000
,  Waitaki district,7340,7460,6650,89.1,6890,6670,7270,109,7580,1650,1310,20,1090,750,52120700
,  Central Otago district,6770,7110,5080,71.5,6250,6640,4430,66.7,6450,2070,1560,29.3,1180,660,40671700
,  Queenstown-Lakes district,7560,8020,5920,73.8,6950,7320,5550,75.8,9550,2920,2220,28,1340,640,66875100
,  Dunedin city,7730,7990,5700,71.3,7020,7240,4770,65.9,47890,8700,8620,18.1,4320,4240,346985100
,  Clutha district,7630,7600,7300,96.1,7560,7450,7600,102,7010,2060,1240,25,1460,640,48554300
,  Southland district,8430,8440,8250,97.8,8230,8010,8260,103.1,12310,4160,2370,28.6,3050,1260,95149600
,  Gore district,7650,7660,7380,96.3,7610,7280,7990,109.8,5850,1610,890,22.7,1140,420,41634600
,  Invercargill city,7710,8010,5330,66.5,6870,7110,4430,62.3,21750,3590,3640,16.6,1650,1690,157452700
Dec-01,Total territorial authority,9200,9560,6950,72.7,8250,8580,6070,70.8,1537720,263290,226510,16.1,120120,83330,13427512500
,  Far North district,6920,7260,5150,70.9,6330,6730,4600,68.4,14600,3100,2510,19.6,1590,1000,94336600
,  Whangarei district,8390,8710,6390,73.4,7740,8030,5730,71.4,23260,3930,3350,15.9,1870,1290,187089100
,  Kaipara district,6670,6970,5200,74.6,6460,6760,4990,73.8,4450,1140,800,22.7,700,370,28760100
,  Rodney district,7790,8130,5840,71.8,7290,7680,5040,65.6,17020,3260,2640,17.7,1760,1140,124590600
,  North Shore city,9810,10230,7440,72.7,8790,9180,6460,70.4,65620,10620,9070,15.2,4630,3090,607870900
,  Waitakere city,8680,9090,6190,68.1,8130,8530,5310,62.3,39520,6340,5270,14.9,2950,1880,324009500
,  Auckland city,11100,11500,8500,73.9,9500,9820,7260,73.9,259190,42220,38230,15.7,16850,12860,2760940300
,  Manukau city,10050,10420,7710,74,9150,9450,6990,74,97200,15000,12110,14.2,6880,3990,941459900
,  Papakura district,8840,9260,6250,67.5,8430,8910,5810,65.2,12750,2060,1960,15.8,910,810,110134500
,  Franklin district,9160,9590,6230,65,8130,8520,5640,66.2,14550,2440,1940,15.3,1330,820,123672700
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,7580,7920,5870,74.1,7050,7440,5200,69.9,7720,1610,1120,18.3,920,430,54100300
,  Hauraki district,7590,8000,5260,65.8,7070,7500,4640,61.9,4290,770,670,17.1,390,290,30803800
,  Waikato district,9010,9410,6980,74.2,8180,8620,5940,68.9,10100,2690,1240,21.2,1900,450,82650800
,  Matamata-Piako district,8070,8390,6160,73.4,7500,7830,5940,75.9,10520,2140,1710,18.7,1080,650,83219100
,  Hamilton city,8910,9280,6420,69.2,8270,8620,5800,67.3,57000,9110,8970,15.9,3290,3160,485107800
,  Waipa district,7510,7860,5860,74.6,7030,7430,5480,73.8,11730,2720,2030,20.9,1440,750,86442200
,  Otorohanga district,7990,8300,5940,71.6,7840,8100,5670,70,2900,570,420,17.5,360,210,21508400
,  South Waikato district,9240,9680,6160,63.6,8820,9220,5680,61.6,8610,1400,1160,15.1,710,470,77912200
,  Waitomo district (modified),7820,8130,5950,73.2,7290,7540,5740,76.1,3660,750,540,18.2,380,170,26415800
,  Taupo district (modified),7740,8140,5500,67.6,7230,7700,4820,62.6,11660,2200,1910,17.9,960,670,84529300
,  Western Bay of Plenty district,6920,7280,5680,78,6430,6810,5010,73.6,9630,2670,2950,28.7,1450,1740,60928400
,  Tauranga city,8170,8530,6070,71.2,7560,7910,5360,67.8,35650,6760,5890,18,3130,2250,274042300
,  Rotorua district,8310,8680,6090,70.2,7830,8170,5560,68.1,25900,4410,3720,15.9,1950,1250,205533400
,  Whakatane district (modified),7630,8030,5150,64.1,6960,7380,4510,61.1,10380,2210,1720,19.4,1160,670,74986300
,  Kawerau district,12360,12720,6960,54.7,12360,12780,5420,42.4,3180,430,410,13.4,180,160,36987900
,  Opotiki district,6620,6910,5040,72.9,5820,6180,4570,74,2280,420,430,18.7,200,210,13892100
,  Gisborne district,7560,7830,5970,76.3,7010,7290,5350,73.4,16600,3460,2730,19.1,1840,1110,114731100
,  Wairoa district,7920,8080,7600,94.1,7630,7710,7730,100.3,3090,900,580,25.2,530,200,22110300
,  Hastings district (modified),8190,8480,6330,74.7,7660,7970,5800,72.8,27600,5740,3880,18.1,3260,1400,210155200
,  Napier city,7850,8160,5480,67.2,7280,7600,4970,65.4,20220,3400,2600,15.2,1670,860,149298700
,  Central Hawke's Bay district,7890,8200,6380,77.8,7660,7910,6360,80.4,5160,1340,1000,23.4,780,440,37416400
,  New Plymouth district,8610,8970,6260,69.8,7630,8010,5250,65.5,25160,4310,3250,15.3,2420,1360,205611500
,  Stratford district,7050,7300,5670,77.7,6530,6860,4830,70.4,2460,430,370,16.2,260,200,15895600
,  South Taranaki district,8630,8960,6920,77.2,8020,8290,6350,76.6,10730,2370,1600,19.2,1400,620,89838000
,  Ruapehu district (modified),8190,8580,6280,73.2,7730,8080,5850,72.4,5390,1110,1640,24.3,580,1120,41003600
,  Wanganui district,7930,8180,5990,73.2,7290,7530,5130,68.1,15720,2400,2240,14.9,1000,840,117667700
,  Rangitikei district (modified),7070,7360,5590,76,6500,6880,4900,71.2,4670,1080,760,20.3,660,340,30371000
,  Manawatu district,7960,8200,6400,78.1,7550,7800,6060,77.7,7510,1470,1120,17.7,800,460,58494100
,  Palmerston North city,8460,8800,5870,66.7,7740,8060,5450,67.6,37150,5320,4960,13.9,1840,1480,296872600
,  Tararua district,7200,7510,5170,68.8,6990,7260,4580,63.1,5750,1150,850,17.8,660,360,38992300
,  Horowhenua district,7220,7450,5440,73,6770,7000,4710,67.3,8290,1350,1030,14.7,730,420,56568100
,  Kapiti Coast district,6950,7270,5000,68.8,6420,6760,4170,61.7,9430,1530,1110,14.3,830,410,61486200
,  Porirua city,8930,9220,6780,73.5,8280,8610,6060,70.4,11850,1600,1540,13.3,640,580,101399800
,  Upper Hutt city,8570,8910,5850,65.7,7840,8080,4910,60.8,10110,1320,1110,12.2,530,310,83566500
,  Lower Hutt city,9490,9810,7030,71.7,8650,8900,6240,70.1,38850,5320,4780,13.1,2250,1720,353663100
,  Wellington city,11700,12080,9350,77.4,9720,10040,7780,77.5,115730,17040,15600,14.2,6370,4920,1319947900
,  Masterton district,7260,7490,5260,70.2,6730,6990,4740,67.8,8920,1370,1090,14,670,390,61214000
,  Carterton district,7260,7480,5820,77.8,6780,7110,5700,80.2,2380,440,320,16.1,230,120,16117700
,  South Wairarapa district,6870,7160,5340,74.6,6520,6820,4910,72,2300,540,360,20.3,340,150,14526700
,  Tasman district,7610,7980,5680,71.2,7050,7480,5230,69.9,12690,2960,2310,21.3,1610,960,90391300
,  Nelson city,8030,8340,5780,69.3,7310,7570,5000,66.1,19890,3090,3320,16.1,1290,1520,149903700
,  Marlborough district,7650,7980,5650,70.8,7130,7440,5150,69.2,15410,3430,2810,20.7,1720,1090,110011600
,  Kaikoura district,7340,7870,5350,68,6570,7000,4800,68.6,1150,300,180,22.1,180,65,7948900
,  Buller district,7820,8140,5860,72,7130,7590,4960,65.4,3130,590,430,16.7,340,180,22624300
,  Grey district,7550,7850,5360,68.3,6940,7320,4520,61.8,5430,840,690,14.2,400,250,38797000
,  Westland district,7750,8180,6260,76.5,7400,7810,6340,81.2,2800,740,420,21.9,450,130,20652100
,  Hurunui district,6440,6750,5010,74.2,5920,6250,4980,79.7,2780,650,510,21.2,390,260,16577500
,  Waimakariri district,7250,7590,4920,64.8,6750,7120,4400,61.8,7700,1440,1050,16.6,780,390,52117000
,  Christchurch city (modified),8630,8970,6240,69.6,7900,8200,5570,67.9,155900,24170,21680,14.8,9570,7080,1273613700
,  Selwyn district,8410,8710,6270,72,7800,8100,6000,74.1,8860,1580,1320,16.7,800,540,67743300
,  Ashburton district,7730,8020,5700,71.1,7430,7710,5470,71,10560,1890,1960,18.2,940,1010,76860900
,  Timaru district,7460,7720,5520,71.5,7120,7400,4920,66.5,16310,2950,2550,17.1,1350,940,117604700
,  Mackenzie district,7400,7910,4840,61.2,6620,7060,5220,73.9,1320,390,230,25,270,120,8866600
,  Waimate district,6860,7150,5350,74.8,6650,6880,5340,77.6,1790,390,330,20.5,240,180,11589200
,  Waitaki district,7510,7770,6040,77.7,7000,7270,5540,76.2,7230,1510,1080,18.4,810,380,52396300
,  Central Otago district,7200,7520,5580,74.2,6560,6980,5170,74.1,5920,1640,1040,23.9,1070,470,39681500
,  Queenstown-Lakes district,7550,7960,6340,79.7,7100,7500,5830,77.7,8850,2480,3390,31.6,1020,1930,63320100
,  Dunedin city,8310,8650,5830,67.4,7760,8060,5240,65,47900,7040,7010,14.7,2740,2700,369859600
,  Clutha district,7750,7950,6960,87.6,7690,7850,7110,90.6,6180,1520,1260,22.9,870,610,44852400
,  Southland district,8620,8900,7630,85.7,8230,8560,7430,86.8,10530,3200,2040,26.4,2010,850,87499000
,  Gore district,7560,7720,6410,83,7370,7510,6010,80,5120,1200,980,21.6,550,330,38610100
,  Invercargill city,8120,8480,5530,65.2,7500,7850,4910,62.6,21810,3310,2640,13.8,1460,800,167119100
Sep-01,Total territorial authority,8650,8960,6820,76.1,7690,7980,5860,73.4,1500940,257920,260610,17.3,104980,107660,12622674600
,  Far North district,6450,6740,4730,70.2,5980,6290,4240,67.4,14010,2620,2780,19.2,1270,1420,86451300
,  Whangarei district,7850,8190,5800,70.8,7230,7550,5160,68.3,22680,3790,3780,16.7,1650,1640,172962500
,  Kaipara district,6280,6520,5000,76.7,6090,6370,4700,73.8,4110,780,760,18.6,420,400,25197900
,  Rodney district,7160,7420,5730,77.2,6650,6960,5000,71.8,16420,2920,2850,17.6,1360,1290,113745500
,  North Shore city,9080,9420,6860,72.8,8130,8460,5840,69,64140,11310,10530,17.1,4330,3550,566705900
,  Waitakere city,7920,8210,5930,72.2,7470,7780,5150,66.2,38410,6540,6320,16.8,2490,2270,292676900
,  Auckland city,10500,10870,8460,77.8,8920,9230,7150,77.5,255060,43220,43170,16.9,15820,15760,2624416200
,  Manukau city,9510,9840,7360,74.8,8520,8810,6680,75.8,94400,15200,14920,16,5280,5000,879155800
,  Papakura district,8290,8550,6670,78,7890,8150,6260,76.8,12640,2120,1880,16,930,690,100994400
,  Franklin district,8380,8770,5850,66.7,7330,7710,5230,67.8,14050,2280,2340,16.4,1100,1160,112989600
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,7000,6960,7620,109.5,6500,6510,6790,104.3,7230,1250,1330,17.7,620,690,48857000
,  Hauraki district,7120,7410,5540,74.8,6610,6920,5200,75.1,4190,800,770,18.7,400,360,28643100
,  Waikato district,8450,8750,6720,76.8,7620,7930,6480,81.7,8490,1580,1720,19.2,730,880,69325100
,  Matamata-Piako district,7700,8030,5720,71.2,7220,7540,5740,76.1,10100,1940,1830,18.8,940,830,75153100
,  Hamilton city,8400,8720,6320,72.5,7730,8030,5660,70.5,57020,9810,9090,16.7,3470,2750,459660000
,  Waipa district,7390,7720,5630,72.9,6920,7250,5570,76.8,11040,2230,2030,19.4,1140,940,78386000
,  Otorohanga district,7460,7670,6750,88,7210,7510,6640,88.4,2740,620,560,21.9,320,250,19645300
,  South Waikato district,8920,7770,11430,147.1,8200,7520,10020,133.2,8380,1410,1340,16.4,630,560,73067100
,  Waitomo district (modified),7120,7260,6540,90.1,6610,6720,6060,90.2,3460,590,670,17.9,270,350,23524300
,  Taupo district (modified),7320,7640,5540,72.5,6690,7000,5050,72.1,11380,2230,2070,19,1000,840,79402300
,  Western Bay of Plenty district,6460,6960,4780,68.7,6030,6650,4310,64.8,9920,2920,5200,36.7,1410,3690,59869400
,  Tauranga city,7730,8030,6020,75,7140,7480,5320,71.1,34780,6380,6280,18.2,2570,2470,259233000
,  Rotorua district,7950,8210,6350,77.3,7370,7670,5370,70,25210,4270,4120,16.7,1740,1580,192991600
,  Whakatane district (modified),7430,7380,7450,101,6670,6770,5880,86.9,9890,1860,2160,20,840,1130,69784500
,  Kawerau district,12220,11680,14000,119.9,12210,11110,15210,136.9,3160,390,300,11.2,210,120,38600600
,  Opotiki district,6170,6520,4680,71.8,5680,6120,4270,69.8,2300,520,820,27.3,230,530,13194200
,  Gisborne district,6920,7280,5190,71.3,6340,6720,4730,70.4,15860,3360,3580,21.7,1690,1920,104368300
,  Wairoa district,6950,7220,5470,75.8,6610,6940,4680,67.4,2760,550,690,22,270,420,19460700
,  Hastings district (modified),7670,7930,6110,77.1,7110,7400,5290,71.5,25660,4480,6440,20.5,2120,4070,189939400
,  Napier city,7220,7500,5180,69.1,6740,7020,4570,65.1,19420,3010,3670,16.9,1230,1880,136925600
,  Central Hawke's Bay district,7160,7390,5960,80.7,6980,7200,5520,76.7,4810,970,1340,23.2,520,890,33167900
,  New Plymouth district,8100,8370,6270,74.9,7270,7520,5390,71.7,24100,3800,3640,15.5,1660,1500,191274000
,  Stratford district,6280,6480,5080,78.4,5810,6000,4870,81.2,2390,410,350,16,230,170,14649100
,  South Taranaki district,8170,8510,5740,67.5,7530,7870,5410,68.7,9950,1730,1940,18.3,780,980,82177800
,  Ruapehu district (modified),7330,7830,5220,66.7,6850,7380,4540,61.5,5920,1830,1080,26.2,1290,530,41236700
,  Wanganui district,7240,7520,5220,69.4,6650,6950,4470,64.3,15510,2440,2650,16.3,850,1060,109477100
